modello,id_snippet,layer,probabilita_vergine,probabilita_attaccata
Qwen/Qwen2.5-7B-Instruct,1,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,1,8,76.61,76.61
Qwen/Qwen2.5-7B-Instruct,1,9,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,1,10,81.31,81.31
Qwen/Qwen2.5-7B-Instruct,1,11,2.3,2.3
Qwen/Qwen2.5-7B-Instruct,1,12,97.83,97.83
Qwen/Qwen2.5-7B-Instruct,1,13,99.95,99.95
Qwen/Qwen2.5-7B-Instruct,1,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,1,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,1,16,17.7,17.7
Qwen/Qwen2.5-7B-Instruct,1,17,26.22,26.22
Qwen/Qwen2.5-7B-Instruct,1,18,98.93,0.0
Qwen/Qwen2.5-7B-Instruct,1,19,68.81,0.0
Qwen/Qwen2.5-7B-Instruct,1,20,11.1,0.0
Qwen/Qwen2.5-7B-Instruct,1,21,54.81,0.0
Qwen/Qwen2.5-7B-Instruct,1,22,99.97,0.0
Qwen/Qwen2.5-7B-Instruct,1,23,8.37,0.0
Qwen/Qwen2.5-7B-Instruct,1,24,93.94,0.0
Qwen/Qwen2.5-7B-Instruct,1,25,99.76,0.0
Qwen/Qwen2.5-7B-Instruct,1,26,0.43,0.0
Qwen/Qwen2.5-7B-Instruct,1,27,4.4,0.0
Qwen/Qwen2.5-7B-Instruct,2,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,2,1,14.97,14.97
Qwen/Qwen2.5-7B-Instruct,2,2,99.04,99.04
Qwen/Qwen2.5-7B-Instruct,2,3,86.36,86.36
Qwen/Qwen2.5-7B-Instruct,2,4,21.96,21.96
Qwen/Qwen2.5-7B-Instruct,2,5,9.61,9.61
Qwen/Qwen2.5-7B-Instruct,2,6,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,2,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,2,8,86.14,86.14
Qwen/Qwen2.5-7B-Instruct,2,9,0.08,0.08
Qwen/Qwen2.5-7B-Instruct,2,10,96.09,96.09
Qwen/Qwen2.5-7B-Instruct,2,11,12.47,12.47
Qwen/Qwen2.5-7B-Instruct,2,12,99.31,99.31
Qwen/Qwen2.5-7B-Instruct,2,13,99.91,99.91
Qwen/Qwen2.5-7B-Instruct,2,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,2,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,2,16,14.17,14.17
Qwen/Qwen2.5-7B-Instruct,2,17,24.26,24.26
Qwen/Qwen2.5-7B-Instruct,2,18,98.26,0.0
Qwen/Qwen2.5-7B-Instruct,2,19,50.12,0.0
Qwen/Qwen2.5-7B-Instruct,2,20,14.54,0.0
Qwen/Qwen2.5-7B-Instruct,2,21,74.86,0.0
Qwen/Qwen2.5-7B-Instruct,2,22,99.99,0.0
Qwen/Qwen2.5-7B-Instruct,2,23,90.1,0.0
Qwen/Qwen2.5-7B-Instruct,2,24,99.73,0.0
Qwen/Qwen2.5-7B-Instruct,2,25,99.99,0.02
Qwen/Qwen2.5-7B-Instruct,2,26,46.3,0.0
Qwen/Qwen2.5-7B-Instruct,2,27,89.85,0.0
Qwen/Qwen2.5-7B-Instruct,3,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,3,1,26.54,26.54
Qwen/Qwen2.5-7B-Instruct,3,2,99.07,99.07
Qwen/Qwen2.5-7B-Instruct,3,3,87.13,87.13
Qwen/Qwen2.5-7B-Instruct,3,4,34.75,34.75
Qwen/Qwen2.5-7B-Instruct,3,5,16.67,16.67
Qwen/Qwen2.5-7B-Instruct,3,6,0.46,0.46
Qwen/Qwen2.5-7B-Instruct,3,7,0.02,0.02
Qwen/Qwen2.5-7B-Instruct,3,8,96.06,96.06
Qwen/Qwen2.5-7B-Instruct,3,9,0.64,0.64
Qwen/Qwen2.5-7B-Instruct,3,10,99.71,99.71
Qwen/Qwen2.5-7B-Instruct,3,11,78.07,78.07
Qwen/Qwen2.5-7B-Instruct,3,12,99.97,99.97
Qwen/Qwen2.5-7B-Instruct,3,13,100.0,100.0
Qwen/Qwen2.5-7B-Instruct,3,14,0.06,0.06
Qwen/Qwen2.5-7B-Instruct,3,15,0.58,0.58
Qwen/Qwen2.5-7B-Instruct,3,16,93.83,93.83
Qwen/Qwen2.5-7B-Instruct,3,17,99.01,99.01
Qwen/Qwen2.5-7B-Instruct,3,18,100.0,0.0
Qwen/Qwen2.5-7B-Instruct,3,19,99.13,0.0
Qwen/Qwen2.5-7B-Instruct,3,20,99.66,0.0
Qwen/Qwen2.5-7B-Instruct,3,21,99.96,0.03
Qwen/Qwen2.5-7B-Instruct,3,22,100.0,32.24
Qwen/Qwen2.5-7B-Instruct,3,23,99.97,0.0
Qwen/Qwen2.5-7B-Instruct,3,24,100.0,0.02
Qwen/Qwen2.5-7B-Instruct,3,25,100.0,2.96
Qwen/Qwen2.5-7B-Instruct,3,26,96.73,0.0
Qwen/Qwen2.5-7B-Instruct,3,27,98.45,0.0
Qwen/Qwen2.5-7B-Instruct,4,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,4,1,13.95,13.95
Qwen/Qwen2.5-7B-Instruct,4,2,99.01,99.01
Qwen/Qwen2.5-7B-Instruct,4,3,84.0,84.0
Qwen/Qwen2.5-7B-Instruct,4,4,21.5,21.5
Qwen/Qwen2.5-7B-Instruct,4,5,7.66,7.66
Qwen/Qwen2.5-7B-Instruct,4,6,0.03,0.03
Qwen/Qwen2.5-7B-Instruct,4,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,4,8,77.34,77.34
Qwen/Qwen2.5-7B-Instruct,4,9,0.07,0.07
Qwen/Qwen2.5-7B-Instruct,4,10,64.27,64.27
Qwen/Qwen2.5-7B-Instruct,4,11,4.62,4.62
Qwen/Qwen2.5-7B-Instruct,4,12,96.98,96.98
Qwen/Qwen2.5-7B-Instruct,4,13,99.98,99.98
Qwen/Qwen2.5-7B-Instruct,4,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,4,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,4,16,11.53,11.53
Qwen/Qwen2.5-7B-Instruct,4,17,26.88,26.88
Qwen/Qwen2.5-7B-Instruct,4,18,99.77,0.0
Qwen/Qwen2.5-7B-Instruct,4,19,58.75,0.0
Qwen/Qwen2.5-7B-Instruct,4,20,7.4,0.0
Qwen/Qwen2.5-7B-Instruct,4,21,36.76,0.0
Qwen/Qwen2.5-7B-Instruct,4,22,99.95,0.0
Qwen/Qwen2.5-7B-Instruct,4,23,19.76,0.0
Qwen/Qwen2.5-7B-Instruct,4,24,97.74,0.0
Qwen/Qwen2.5-7B-Instruct,4,25,99.85,0.0
Qwen/Qwen2.5-7B-Instruct,4,26,0.11,0.0
Qwen/Qwen2.5-7B-Instruct,4,27,1.2,0.0
Qwen/Qwen2.5-7B-Instruct,5,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,5,1,12.86,12.86
Qwen/Qwen2.5-7B-Instruct,5,2,98.8,98.8
Qwen/Qwen2.5-7B-Instruct,5,3,81.55,81.55
Qwen/Qwen2.5-7B-Instruct,5,4,14.01,14.01
Qwen/Qwen2.5-7B-Instruct,5,5,7.07,7.07
Qwen/Qwen2.5-7B-Instruct,5,6,0.02,0.02
Qwen/Qwen2.5-7B-Instruct,5,7,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,5,8,84.45,84.45
Qwen/Qwen2.5-7B-Instruct,5,9,0.12,0.12
Qwen/Qwen2.5-7B-Instruct,5,10,98.2,98.2
Qwen/Qwen2.5-7B-Instruct,5,11,36.09,36.09
Qwen/Qwen2.5-7B-Instruct,5,12,86.89,86.89
Qwen/Qwen2.5-7B-Instruct,5,13,99.97,99.97
Qwen/Qwen2.5-7B-Instruct,5,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,5,15,0.02,0.02
Qwen/Qwen2.5-7B-Instruct,5,16,90.94,90.94
Qwen/Qwen2.5-7B-Instruct,5,17,57.85,57.85
Qwen/Qwen2.5-7B-Instruct,5,18,99.39,0.0
Qwen/Qwen2.5-7B-Instruct,5,19,76.37,0.0
Qwen/Qwen2.5-7B-Instruct,5,20,98.22,0.0
Qwen/Qwen2.5-7B-Instruct,5,21,99.31,0.0
Qwen/Qwen2.5-7B-Instruct,5,22,100.0,16.94
Qwen/Qwen2.5-7B-Instruct,5,23,100.0,0.0
Qwen/Qwen2.5-7B-Instruct,5,24,100.0,0.03
Qwen/Qwen2.5-7B-Instruct,5,25,100.0,0.07
Qwen/Qwen2.5-7B-Instruct,5,26,81.45,0.0
Qwen/Qwen2.5-7B-Instruct,5,27,44.45,0.0
Qwen/Qwen2.5-7B-Instruct,6,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,6,1,12.0,12.0
Qwen/Qwen2.5-7B-Instruct,6,2,98.5,98.5
Qwen/Qwen2.5-7B-Instruct,6,3,80.12,80.12
Qwen/Qwen2.5-7B-Instruct,6,4,10.27,10.27
Qwen/Qwen2.5-7B-Instruct,6,5,8.55,8.55
Qwen/Qwen2.5-7B-Instruct,6,6,0.06,0.06
Qwen/Qwen2.5-7B-Instruct,6,7,0.02,0.02
Qwen/Qwen2.5-7B-Instruct,6,8,92.45,92.45
Qwen/Qwen2.5-7B-Instruct,6,9,0.07,0.07
Qwen/Qwen2.5-7B-Instruct,6,10,98.32,98.32
Qwen/Qwen2.5-7B-Instruct,6,11,16.35,16.35
Qwen/Qwen2.5-7B-Instruct,6,12,99.07,99.07
Qwen/Qwen2.5-7B-Instruct,6,13,99.99,99.99
Qwen/Qwen2.5-7B-Instruct,6,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,6,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,6,16,11.56,11.56
Qwen/Qwen2.5-7B-Instruct,6,17,27.38,27.38
Qwen/Qwen2.5-7B-Instruct,6,18,99.52,0.0
Qwen/Qwen2.5-7B-Instruct,6,19,67.85,0.0
Qwen/Qwen2.5-7B-Instruct,6,20,15.8,0.0
Qwen/Qwen2.5-7B-Instruct,6,21,72.54,0.0
Qwen/Qwen2.5-7B-Instruct,6,22,99.99,0.01
Qwen/Qwen2.5-7B-Instruct,6,23,14.02,0.0
Qwen/Qwen2.5-7B-Instruct,6,24,98.02,0.0
Qwen/Qwen2.5-7B-Instruct,6,25,99.98,0.02
Qwen/Qwen2.5-7B-Instruct,6,26,0.97,0.0
Qwen/Qwen2.5-7B-Instruct,6,27,39.52,0.0
Qwen/Qwen2.5-7B-Instruct,7,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,7,1,11.32,11.32
Qwen/Qwen2.5-7B-Instruct,7,2,98.54,98.54
Qwen/Qwen2.5-7B-Instruct,7,3,69.76,69.76
Qwen/Qwen2.5-7B-Instruct,7,4,5.91,5.91
Qwen/Qwen2.5-7B-Instruct,7,5,7.13,7.13
Qwen/Qwen2.5-7B-Instruct,7,6,0.05,0.05
Qwen/Qwen2.5-7B-Instruct,7,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,7,8,75.27,75.27
Qwen/Qwen2.5-7B-Instruct,7,9,0.03,0.03
Qwen/Qwen2.5-7B-Instruct,7,10,93.18,93.18
Qwen/Qwen2.5-7B-Instruct,7,11,12.88,12.88
Qwen/Qwen2.5-7B-Instruct,7,12,99.14,99.14
Qwen/Qwen2.5-7B-Instruct,7,13,99.98,99.98
Qwen/Qwen2.5-7B-Instruct,7,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,7,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,7,16,21.45,21.45
Qwen/Qwen2.5-7B-Instruct,7,17,59.07,59.07
Qwen/Qwen2.5-7B-Instruct,7,18,97.46,0.0
Qwen/Qwen2.5-7B-Instruct,7,19,59.65,0.0
Qwen/Qwen2.5-7B-Instruct,7,20,42.93,0.0
Qwen/Qwen2.5-7B-Instruct,7,21,97.79,0.0
Qwen/Qwen2.5-7B-Instruct,7,22,100.0,0.03
Qwen/Qwen2.5-7B-Instruct,7,23,57.78,0.0
Qwen/Qwen2.5-7B-Instruct,7,24,99.78,0.0
Qwen/Qwen2.5-7B-Instruct,7,25,99.99,0.02
Qwen/Qwen2.5-7B-Instruct,7,26,7.2,0.0
Qwen/Qwen2.5-7B-Instruct,7,27,84.04,0.0
Qwen/Qwen2.5-7B-Instruct,8,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,8,1,9.29,9.29
Qwen/Qwen2.5-7B-Instruct,8,2,98.6,98.6
Qwen/Qwen2.5-7B-Instruct,8,3,67.3,67.3
Qwen/Qwen2.5-7B-Instruct,8,4,7.21,7.21
Qwen/Qwen2.5-7B-Instruct,8,5,4.62,4.62
Qwen/Qwen2.5-7B-Instruct,8,6,0.03,0.03
Qwen/Qwen2.5-7B-Instruct,8,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,8,8,82.51,82.51
Qwen/Qwen2.5-7B-Instruct,8,9,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,8,10,94.78,94.78
Qwen/Qwen2.5-7B-Instruct,8,11,5.59,5.59
Qwen/Qwen2.5-7B-Instruct,8,12,99.15,99.15
Qwen/Qwen2.5-7B-Instruct,8,13,99.94,99.94
Qwen/Qwen2.5-7B-Instruct,8,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,8,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,8,16,37.24,37.24
Qwen/Qwen2.5-7B-Instruct,8,17,34.4,34.4
Qwen/Qwen2.5-7B-Instruct,8,18,99.15,0.0
Qwen/Qwen2.5-7B-Instruct,8,19,42.99,0.0
Qwen/Qwen2.5-7B-Instruct,8,20,14.93,0.0
Qwen/Qwen2.5-7B-Instruct,8,21,68.95,0.0
Qwen/Qwen2.5-7B-Instruct,8,22,99.98,0.0
Qwen/Qwen2.5-7B-Instruct,8,23,21.22,0.0
Qwen/Qwen2.5-7B-Instruct,8,24,98.61,0.0
Qwen/Qwen2.5-7B-Instruct,8,25,99.98,0.01
Qwen/Qwen2.5-7B-Instruct,8,26,3.14,0.0
Qwen/Qwen2.5-7B-Instruct,8,27,20.76,0.0
Qwen/Qwen2.5-7B-Instruct,9,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,9,1,9.57,9.57
Qwen/Qwen2.5-7B-Instruct,9,2,98.07,98.07
Qwen/Qwen2.5-7B-Instruct,9,3,84.31,84.31
Qwen/Qwen2.5-7B-Instruct,9,4,23.41,23.41
Qwen/Qwen2.5-7B-Instruct,9,5,6.43,6.43
Qwen/Qwen2.5-7B-Instruct,9,6,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,9,7,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,9,8,64.12,64.12
Qwen/Qwen2.5-7B-Instruct,9,9,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,9,10,87.67,87.67
Qwen/Qwen2.5-7B-Instruct,9,11,5.09,5.09
Qwen/Qwen2.5-7B-Instruct,9,12,99.62,99.62
Qwen/Qwen2.5-7B-Instruct,9,13,99.95,99.95
Qwen/Qwen2.5-7B-Instruct,9,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,9,15,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,9,16,43.05,43.05
Qwen/Qwen2.5-7B-Instruct,9,17,70.82,70.82
Qwen/Qwen2.5-7B-Instruct,9,18,99.51,0.0
Qwen/Qwen2.5-7B-Instruct,9,19,75.29,0.0
Qwen/Qwen2.5-7B-Instruct,9,20,55.7,0.0
Qwen/Qwen2.5-7B-Instruct,9,21,88.95,0.0
Qwen/Qwen2.5-7B-Instruct,9,22,100.0,0.01
Qwen/Qwen2.5-7B-Instruct,9,23,63.6,0.0
Qwen/Qwen2.5-7B-Instruct,9,24,99.13,0.0
Qwen/Qwen2.5-7B-Instruct,9,25,99.89,0.0
Qwen/Qwen2.5-7B-Instruct,9,26,2.2,0.0
Qwen/Qwen2.5-7B-Instruct,9,27,4.0,0.0
Qwen/Qwen2.5-7B-Instruct,10,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,10,1,17.94,17.94
Qwen/Qwen2.5-7B-Instruct,10,2,99.09,99.09
Qwen/Qwen2.5-7B-Instruct,10,3,89.03,89.03
Qwen/Qwen2.5-7B-Instruct,10,4,20.11,20.11
Qwen/Qwen2.5-7B-Instruct,10,5,13.89,13.89
Qwen/Qwen2.5-7B-Instruct,10,6,0.06,0.06
Qwen/Qwen2.5-7B-Instruct,10,7,0.03,0.03
Qwen/Qwen2.5-7B-Instruct,10,8,96.17,96.17
Qwen/Qwen2.5-7B-Instruct,10,9,0.31,0.31
Qwen/Qwen2.5-7B-Instruct,10,10,97.59,97.59
Qwen/Qwen2.5-7B-Instruct,10,11,54.44,54.44
Qwen/Qwen2.5-7B-Instruct,10,12,98.52,98.52
Qwen/Qwen2.5-7B-Instruct,10,13,100.0,100.0
Qwen/Qwen2.5-7B-Instruct,10,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,10,15,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,10,16,62.29,62.29
Qwen/Qwen2.5-7B-Instruct,10,17,78.28,78.28
Qwen/Qwen2.5-7B-Instruct,10,18,99.94,0.0
Qwen/Qwen2.5-7B-Instruct,10,19,97.93,0.0
Qwen/Qwen2.5-7B-Instruct,10,20,98.5,0.0
Qwen/Qwen2.5-7B-Instruct,10,21,98.6,0.0
Qwen/Qwen2.5-7B-Instruct,10,22,100.0,1.69
Qwen/Qwen2.5-7B-Instruct,10,23,99.82,0.0
Qwen/Qwen2.5-7B-Instruct,10,24,100.0,0.01
Qwen/Qwen2.5-7B-Instruct,10,25,100.0,1.44
Qwen/Qwen2.5-7B-Instruct,10,26,97.42,0.0
Qwen/Qwen2.5-7B-Instruct,10,27,99.28,0.0
Qwen/Qwen2.5-7B-Instruct,11,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,11,1,13.55,13.55
Qwen/Qwen2.5-7B-Instruct,11,2,98.93,98.93
Qwen/Qwen2.5-7B-Instruct,11,3,81.11,81.11
Qwen/Qwen2.5-7B-Instruct,11,4,21.36,21.36
Qwen/Qwen2.5-7B-Instruct,11,5,9.41,9.41
Qwen/Qwen2.5-7B-Instruct,11,6,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,11,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,11,8,76.45,76.45
Qwen/Qwen2.5-7B-Instruct,11,9,0.04,0.04
Qwen/Qwen2.5-7B-Instruct,11,10,86.45,86.45
Qwen/Qwen2.5-7B-Instruct,11,11,5.51,5.51
Qwen/Qwen2.5-7B-Instruct,11,12,99.77,99.77
Qwen/Qwen2.5-7B-Instruct,11,13,99.98,99.98
Qwen/Qwen2.5-7B-Instruct,11,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,11,15,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,11,16,53.37,53.37
Qwen/Qwen2.5-7B-Instruct,11,17,86.14,86.14
Qwen/Qwen2.5-7B-Instruct,11,18,99.93,0.0
Qwen/Qwen2.5-7B-Instruct,11,19,98.73,0.0
Qwen/Qwen2.5-7B-Instruct,11,20,99.64,0.0
Qwen/Qwen2.5-7B-Instruct,11,21,99.97,0.0
Qwen/Qwen2.5-7B-Instruct,11,22,100.0,1.85
Qwen/Qwen2.5-7B-Instruct,11,23,99.96,0.0
Qwen/Qwen2.5-7B-Instruct,11,24,100.0,0.01
Qwen/Qwen2.5-7B-Instruct,11,25,100.0,4.36
Qwen/Qwen2.5-7B-Instruct,11,26,91.76,0.0
Qwen/Qwen2.5-7B-Instruct,11,27,99.87,0.0
Qwen/Qwen2.5-7B-Instruct,12,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,12,1,20.43,20.43
Qwen/Qwen2.5-7B-Instruct,12,2,99.47,99.47
Qwen/Qwen2.5-7B-Instruct,12,3,89.82,89.82
Qwen/Qwen2.5-7B-Instruct,12,4,23.84,23.84
Qwen/Qwen2.5-7B-Instruct,12,5,6.71,6.71
Qwen/Qwen2.5-7B-Instruct,12,6,0.03,0.03
Qwen/Qwen2.5-7B-Instruct,12,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,12,8,76.76,76.76
Qwen/Qwen2.5-7B-Instruct,12,9,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,12,10,96.79,96.79
Qwen/Qwen2.5-7B-Instruct,12,11,9.35,9.35
Qwen/Qwen2.5-7B-Instruct,12,12,99.56,99.56
Qwen/Qwen2.5-7B-Instruct,12,13,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,12,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,12,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,12,16,7.14,7.14
Qwen/Qwen2.5-7B-Instruct,12,17,11.73,11.73
Qwen/Qwen2.5-7B-Instruct,12,18,96.82,0.0
Qwen/Qwen2.5-7B-Instruct,12,19,9.33,0.0
Qwen/Qwen2.5-7B-Instruct,12,20,0.44,0.0
Qwen/Qwen2.5-7B-Instruct,12,21,1.24,0.0
Qwen/Qwen2.5-7B-Instruct,12,22,96.41,0.0
Qwen/Qwen2.5-7B-Instruct,12,23,0.48,0.0
Qwen/Qwen2.5-7B-Instruct,12,24,19.34,0.0
Qwen/Qwen2.5-7B-Instruct,12,25,96.84,0.0
Qwen/Qwen2.5-7B-Instruct,12,26,0.02,0.0
Qwen/Qwen2.5-7B-Instruct,12,27,0.01,0.0
Qwen/Qwen2.5-7B-Instruct,13,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,13,1,11.75,11.75
Qwen/Qwen2.5-7B-Instruct,13,2,97.68,97.68
Qwen/Qwen2.5-7B-Instruct,13,3,81.67,81.67
Qwen/Qwen2.5-7B-Instruct,13,4,5.9,5.9
Qwen/Qwen2.5-7B-Instruct,13,5,4.31,4.31
Qwen/Qwen2.5-7B-Instruct,13,6,0.03,0.03
Qwen/Qwen2.5-7B-Instruct,13,7,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,13,8,76.67,76.67
Qwen/Qwen2.5-7B-Instruct,13,9,0.02,0.02
Qwen/Qwen2.5-7B-Instruct,13,10,93.67,93.67
Qwen/Qwen2.5-7B-Instruct,13,11,5.78,5.78
Qwen/Qwen2.5-7B-Instruct,13,12,97.69,97.69
Qwen/Qwen2.5-7B-Instruct,13,13,99.95,99.95
Qwen/Qwen2.5-7B-Instruct,13,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,13,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,13,16,2.59,2.59
Qwen/Qwen2.5-7B-Instruct,13,17,7.77,7.77
Qwen/Qwen2.5-7B-Instruct,13,18,97.98,0.0
Qwen/Qwen2.5-7B-Instruct,13,19,10.97,0.0
Qwen/Qwen2.5-7B-Instruct,13,20,0.94,0.0
Qwen/Qwen2.5-7B-Instruct,13,21,3.78,0.0
Qwen/Qwen2.5-7B-Instruct,13,22,98.95,0.0
Qwen/Qwen2.5-7B-Instruct,13,23,0.84,0.0
Qwen/Qwen2.5-7B-Instruct,13,24,61.29,0.0
Qwen/Qwen2.5-7B-Instruct,13,25,99.46,0.0
Qwen/Qwen2.5-7B-Instruct,13,26,0.34,0.0
Qwen/Qwen2.5-7B-Instruct,13,27,4.2,0.0
Qwen/Qwen2.5-7B-Instruct,14,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,14,1,7.92,7.92
Qwen/Qwen2.5-7B-Instruct,14,2,97.3,97.3
Qwen/Qwen2.5-7B-Instruct,14,3,57.51,57.51
Qwen/Qwen2.5-7B-Instruct,14,4,3.53,3.53
Qwen/Qwen2.5-7B-Instruct,14,5,1.69,1.69
Qwen/Qwen2.5-7B-Instruct,14,6,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,14,7,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,14,8,57.13,57.13
Qwen/Qwen2.5-7B-Instruct,14,9,0.01,0.01
Qwen/Qwen2.5-7B-Instruct,14,10,64.81,64.81
Qwen/Qwen2.5-7B-Instruct,14,11,1.86,1.86
Qwen/Qwen2.5-7B-Instruct,14,12,92.02,92.02
Qwen/Qwen2.5-7B-Instruct,14,13,99.86,99.86
Qwen/Qwen2.5-7B-Instruct,14,14,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,14,15,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,14,16,1.06,1.06
Qwen/Qwen2.5-7B-Instruct,14,17,2.49,2.49
Qwen/Qwen2.5-7B-Instruct,14,18,93.34,0.0
Qwen/Qwen2.5-7B-Instruct,14,19,8.51,0.0
Qwen/Qwen2.5-7B-Instruct,14,20,0.86,0.0
Qwen/Qwen2.5-7B-Instruct,14,21,6.68,0.0
Qwen/Qwen2.5-7B-Instruct,14,22,99.64,0.0
Qwen/Qwen2.5-7B-Instruct,14,23,1.87,0.0
Qwen/Qwen2.5-7B-Instruct,14,24,72.46,0.0
Qwen/Qwen2.5-7B-Instruct,14,25,99.88,0.0
Qwen/Qwen2.5-7B-Instruct,14,26,0.1,0.0
Qwen/Qwen2.5-7B-Instruct,14,27,0.24,0.0
Qwen/Qwen2.5-7B-Instruct,15,0,99.9,99.9
Qwen/Qwen2.5-7B-Instruct,15,1,11.85,11.85
