id_snippet,modello,layer_attaccato,metodo_scelta,moltiplicatore,target_vero,predizione_post_steering
67,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
68,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Vulnerabile
69,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
70,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
71,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
72,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
73,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
74,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
75,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
76,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
77,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
78,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
79,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
80,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
81,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
82,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
83,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
84,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
85,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
86,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
87,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
88,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
89,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
90,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
91,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
92,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
93,Qwen/Qwen2.5-7B-Instruct,20,Top-Probing,20,Vulnerabile,Sicuro
94,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
95,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
96,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
97,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
98,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
99,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
100,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
101,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
102,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
103,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
104,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
105,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
106,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
107,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
108,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
109,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
110,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
111,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
112,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
113,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
114,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
115,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
116,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
117,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
118,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
119,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
120,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
121,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
122,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
123,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
124,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
125,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
126,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
127,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
128,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
129,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Vulnerabile
130,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
131,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
132,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
133,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Vulnerabile
134,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
135,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
136,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
137,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
138,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
139,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
140,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
141,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
142,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
143,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
144,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
145,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
146,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
147,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
148,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
149,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
150,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
151,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
152,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
153,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
154,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
155,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
156,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
157,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
158,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
159,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
160,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
161,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
162,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
163,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
164,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
165,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
166,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
167,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
168,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
169,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
170,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
171,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
172,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
173,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
174,Qwen/Qwen2.5-Coder-7B-Instruct,20,Top-Probing,30,Vulnerabile,Sicuro
175,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
176,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
177,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
178,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
179,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
180,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
181,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
182,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
183,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
184,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
185,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
186,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
187,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
188,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
189,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
190,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
191,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
192,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
193,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Sicuro
194,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
195,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
196,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
197,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
198,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
199,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
200,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
201,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
202,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
203,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
204,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
205,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
206,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
207,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
208,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
209,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
210,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
211,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
212,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
213,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
214,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
215,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
216,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
217,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
218,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
219,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
220,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
221,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
222,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
223,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
224,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
225,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
226,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
227,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
228,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
229,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
230,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
231,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
232,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
233,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
234,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
235,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
236,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
237,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
238,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
239,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
240,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
241,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
242,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
243,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
244,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
245,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
246,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
247,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
248,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
249,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
250,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
251,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
252,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
253,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
254,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
255,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
256,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
257,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
258,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
259,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
260,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
261,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
262,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
263,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
264,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
265,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
266,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
267,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
268,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
269,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
270,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
271,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
272,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
273,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
274,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
275,meta-llama/Llama-3.1-8B-Instruct,31,Top-Probing,3,Vulnerabile,Vulnerabile
