modello,moltiplicatore,predizione_post_steering
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,30,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,30,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Vulnerabile
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-7B-Instruct,40,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,20,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,25,Sicuro
Qwen/Qwen2.5-Coder-7B-Instruct,25,Vulnerabile
Qwen/Qwen2.5-Coder-7B-Instruct,25,Vulnerabile
