id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_baseline,predizione_post_steering,codice_originale
25,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void palette8tobgr32(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *palette)

{

	long i;

	for(i=0; i<num_pixels; i++)

	{

		#ifdef WORDS_BIGENDIAN

			dst[3]= palette[ src[i]*4+0 ];

			dst[2]= palette[ src[i]*4+1 ];

			dst[1]= palette[ src[i]*4+2 ];

		#else

			//FIXME slow?

			dst[0]= palette[ src[i]*4+0 ];

			dst[1]= palette[ src[i]*4+1 ];

			dst[2]= palette[ src[i]*4+2 ];

			//dst[3]= 0; /* do we need this cleansing? */

		#endif



		dst+= 4;

	}

}
"
26,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void vdi_close(BlockDriverState *bs)

{

    BDRVVdiState *s = bs->opaque;



    g_free(s->bmap);



    migrate_del_blocker(s->migration_blocker);

    error_free(s->migration_blocker);

}
"
27,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int av_dict_set_fxp(AVDictionary **pm, const char *key, uint64_t value, unsigned int digits,

                int flags)

{

    char valuestr[44];

    snprintf(valuestr, sizeof(valuestr), ""%""PRId64"".%0*""PRId64,

             value / PRECISION, digits, ( value % PRECISION ) / ( PRECISION / uintpow(10,digits) ));

    return av_dict_set(pm, key, valuestr, flags);

}
"
28,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void GCC_FMT_ATTR(2, 3) qtest_sendf(CharBackend *chr,

                                           const char *fmt, ...)

{

    va_list ap;

    gchar *buffer;



    va_start(ap, fmt);

    buffer = g_strdup_vprintf(fmt, ap);

    qtest_send(chr, buffer);


    va_end(ap);

}"
29,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int coroutine_fn raw_co_write_zeroes(

    BlockDriverState *bs, int64_t sector_num,

    int nb_sectors, BdrvRequestFlags flags)

{

    BDRVRawState *s = bs->opaque;



    if (!(flags & BDRV_REQ_MAY_UNMAP)) {

        return -ENOTSUP;

    }

    if (!s->discard_zeroes) {

        return -ENOTSUP;

    }

    return paio_submit_co(bs, s->fd, sector_num, NULL, nb_sectors,

                          QEMU_AIO_DISCARD);

}
"
30,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static char *vnc_socket_remote_addr(const char *format, int fd) {

    struct sockaddr_storage sa;

    socklen_t salen;



    salen = sizeof(sa);

    if (getpeername(fd, (struct sockaddr*)&sa, &salen) < 0)

        return NULL;



    return addr_to_string(format, &sa, salen);

}
"
31,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static inline int l3_unscale(int value, int exponent)

{

    unsigned int m;

    int e;



    e  = table_4_3_exp  [4 * value + (exponent & 3)];

    m  = table_4_3_value[4 * value + (exponent & 3)];

    e -= exponent >> 2;

#ifdef DEBUG

    if(e < 1)

        av_log(NULL, AV_LOG_WARNING, ""l3_unscale: e is %d\n"", e);

#endif

    if (e > (SUINT)31)

        return 0;

    m = (m + (1 << (e - 1))) >> e;



    return m;

}
"
32,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void coroutine_fn qemu_co_mutex_lock(CoMutex *mutex)

{

    Coroutine *self = qemu_coroutine_self();



    trace_qemu_co_mutex_lock_entry(mutex, self);



    while (mutex->locked) {

        qemu_co_queue_wait(&mutex->queue);

    }



    mutex->locked = true;




    trace_qemu_co_mutex_lock_return(mutex, self);

}"
33,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int handle_update_file_cred(int dirfd, const char *name, FsCred *credp)

{

    int fd, ret;

    fd = openat(dirfd, name, O_NONBLOCK | O_NOFOLLOW);

    if (fd < 0) {

        return fd;

    }

    ret = fchmod(fd, credp->fc_mode & 07777);

    if (ret < 0) {

        goto err_out;

    }

    ret = fchownat(fd, """", credp->fc_uid, credp->fc_gid, AT_EMPTY_PATH);

err_out:

    close(fd);

    return ret;

}
"
34,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void test_bmdma_setup(void)

{

    ide_test_start(

        ""-vnc none ""

        ""-drive file=%s,if=ide,serial=%s,cache=writeback ""

        ""-global ide-hd.ver=%s"",

        tmp_path, ""testdisk"", ""version"");

}
"
35,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"int64_t xbzrle_cache_resize(int64_t new_size)

{

    if (new_size < TARGET_PAGE_SIZE) {

        return -1;

    }



    if (XBZRLE.cache != NULL) {

        return cache_resize(XBZRLE.cache, new_size / TARGET_PAGE_SIZE) *

            TARGET_PAGE_SIZE;

    }

    return pow2floor(new_size);

}
"
36,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void perf_lifecycle(void)

{

    Coroutine *coroutine;

    unsigned int i, max;

    double duration;



    max = 1000000;



    g_test_timer_start();

    for (i = 0; i < max; i++) {

        coroutine = qemu_coroutine_create(empty_coroutine);

        qemu_coroutine_enter(coroutine, NULL);

    }

    duration = g_test_timer_elapsed();



    g_test_message(""Lifecycle %u iterations: %f s\n"", max, duration);

}
"
37,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void *g_try_malloc(size_t n_bytes)

{

    __coverity_negative_sink__(n_bytes);

    return malloc(n_bytes == 0 ? 1 : n_bytes);

}
"
38,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int xv_write_trailer(AVFormatContext *s)

{

    XVContext *xv = s->priv_data;



    XShmDetach(xv->display, &xv->yuv_shminfo);

    shmdt(xv->yuv_image->data);

    XFree(xv->yuv_image);


    XCloseDisplay(xv->display);

    return 0;

}"
39,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void vty_putchars(VIOsPAPRDevice *sdev, uint8_t *buf, int len)

{

    VIOsPAPRVTYDevice *dev = VIO_SPAPR_VTY_DEVICE(sdev);



    /* FIXME: should check the qemu_chr_fe_write() return value */

    qemu_chr_fe_write(dev->chardev, buf, len);

}
"
40,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void rtce_init(VIOsPAPRDevice *dev)

{

    size_t size = (dev->rtce_window_size >> SPAPR_VIO_TCE_PAGE_SHIFT)

        * sizeof(VIOsPAPR_RTCE);



    if (size) {

        dev->rtce_table = kvmppc_create_spapr_tce(dev->reg,

                                                  dev->rtce_window_size,

                                                  &dev->kvmtce_fd);



        if (!dev->rtce_table) {

            dev->rtce_table = g_malloc0(size);

        }

    }

}
"
41,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int xen_host_pci_sysfs_path(const XenHostPCIDevice *d,

                                   const char *name, char *buf, ssize_t size)

{

    int rc;



    rc = snprintf(buf, size, ""/sys/bus/pci/devices/%04x:%02x:%02x.%d/%s"",

                  d->domain, d->bus, d->dev, d->func, name);



    if (rc >= size || rc < 0) {

        /* The output is truncated, or some other error was encountered */

        return -ENODEV;

    }

    return 0;

}
"
42,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void ff_rm_free_rmstream (RMStream *rms)

{

    av_free(rms->videobuf);

    av_free(rms->audiobuf);

}
"
43,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void get_tmp_filename(char *filename, int size)

{

    char temp_dir[MAX_PATH];



    GetTempPath(MAX_PATH, temp_dir);

    GetTempFileName(temp_dir, ""qem"", 0, filename);

}
"
44,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void filter_mirror_setup(NetFilterState *nf, Error **errp)
{
    MirrorState *s = FILTER_MIRROR(nf);
    Chardev *chr;
    chr = qemu_chr_find(s->outdev);
    if (chr == NULL) {
        error_set(errp, ERROR_CLASS_DEVICE_NOT_FOUND,
                  ""Device '%s' not found"", s->outdev);
    qemu_chr_fe_init(&s->chr_out, chr, errp);"
45,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"struct GuestAgentInfo *qmp_guest_info(Error **errp)

{

    GuestAgentInfo *info = g_malloc0(sizeof(GuestAgentInfo));



    info->version = g_strdup(QEMU_VERSION);

    qmp_for_each_command(qmp_command_info, info);

    return info;

}
"
46,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void virtqueue_map_sg(struct iovec *sg, hwaddr *addr,
    size_t num_sg, int is_write)
{
    unsigned int i;
    hwaddr len;
    for (i = 0; i < num_sg; i++) {
        len = sg[i].iov_len;
        sg[i].iov_base = cpu_physical_memory_map(addr[i], &len, is_write);
        if (sg[i].iov_base == NULL || len != sg[i].iov_len) {
            error_report(""virtio: trying to map MMIO memory"");"
47,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int tmp105_tx(I2CSlave *i2c, uint8_t data)

{

    TMP105State *s = (TMP105State *) i2c;



    if (!s->len ++)

        s->pointer = data;

    else {

        if (s->len <= 2)

            s->buf[s->len - 1] = data;

        tmp105_write(s);

    }



    return 0;

}
"
48,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void mov_text_cleanup_ftab(MovTextContext *m)

{

    int i;

    for(i = 0; i < m->count_f; i++) {

        av_freep(&m->ftab[i]->font);

        av_freep(&m->ftab[i]);

    }

    av_freep(&m->ftab);

}
"
49,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int cdrom_probe_device(const char *filename)

{

    if (strstart(filename, ""/dev/cd"", NULL))

        return 100;

    return 0;

}
"
50,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void virtio_panic(const char *string)

{

    sclp_print(string);

    disabled_wait();

    while (1) { }

}
"
51,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void ide_flush_cache(IDEState *s)

{

    if (s->bs == NULL) {

        ide_flush_cb(s, 0);

        return;

    }




    bdrv_acct_start(s->bs, &s->acct, 0, BDRV_ACCT_FLUSH);

    bdrv_aio_flush(s->bs, ide_flush_cb, s);

}"
52,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static ssize_t mp_dacl_getxattr(FsContext *ctx, const char *path,

                                const char *name, void *value, size_t size)

{

    char *buffer;

    ssize_t ret;



    buffer = rpath(ctx, path);

    ret = lgetxattr(buffer, MAP_ACL_DEFAULT, value, size);

    g_free(buffer);

    return ret;

}
"
53,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int parse_chr(DeviceState *dev, Property *prop, const char *str)

{

    CharDriverState **ptr = qdev_get_prop_ptr(dev, prop);



    *ptr = qemu_chr_find(str);

    if (*ptr == NULL) {

        return -ENOENT;

    }

    if ((*ptr)->assigned) {

        return -EEXIST;

    }

    (*ptr)->assigned = 1;

    return 0;

}
"
54,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"int spapr_rtas_register(const char *name, spapr_rtas_fn fn)

{

    int i;



    for (i = 0; i < (rtas_next - rtas_table); i++) {

        if (strcmp(name, rtas_table[i].name) == 0) {

            fprintf(stderr, ""RTAS call \""%s\"" registered twice\n"", name);

            exit(1);

        }

    }



    assert(rtas_next < (rtas_table + TOKEN_MAX));



    rtas_next->name = name;

    rtas_next->fn = fn;



    return (rtas_next++ - rtas_table) + TOKEN_BASE;

}
"
55,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static inline uint32_t vmsvga_fifo_read_raw(struct vmsvga_state_s *s)

{

    uint32_t cmd = s->fifo[CMD(stop) >> 2];



    s->cmd->stop = cpu_to_le32(CMD(stop) + 4);

    if (CMD(stop) >= CMD(max)) {

        s->cmd->stop = s->cmd->min;

    }

    return cmd;

}
"
56,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"PPC_OP(divwu)

{

    if (T1 == 0) {

        T0 = 0;

    } else {

        T0 /= T1;

    }

    RETURN();

}
"
57,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void json_print_chapter_header(WriterContext *wctx, const char *chapter)

{

    JSONContext *json = wctx->priv;

    char *chapter_esc;



    if (wctx->nb_chapter)

        printf("","");

    json->multiple_entries = !strcmp(chapter, ""packets"") || !strcmp(chapter, ""streams"");

    chapter_esc = json_escape_str(chapter);

    printf(""\n  \""%s\"":%s"", chapter_esc ? chapter_esc : """",

           json->multiple_entries ? "" ["" : "" "");

    av_free(chapter_esc);

}
"
58,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static inline int range_get_symbol(APEContext * ctx,

                                   const uint32_t counts[],

                                   const uint16_t counts_diff[])

{

    int symbol, cf;



    cf = range_decode_culshift(ctx, 16);










    /* figure out the symbol inefficiently; a binary search would be much better */

    for (symbol = 0; counts[symbol + 1] <= cf; symbol++);



    range_decode_update(ctx, counts_diff[symbol], counts[symbol]);



"
59,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"int fw_cfg_add_i64(FWCfgState *s, uint16_t key, uint64_t value)

{

    uint64_t *copy;



    copy = g_malloc(sizeof(value));

    *copy = cpu_to_le64(value);

    return fw_cfg_add_bytes(s, key, (uint8_t *)copy, sizeof(value));

}
"
60,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void ff_mpegts_parse_close(MpegTSContext *ts)

{

    int i;



    for(i=0;i<NB_PID_MAX;i++)

        av_free(ts->pids[i]);

    av_free(ts);

}
"
61,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"char **breakline(char *input, int *count)

{

    int c = 0;

    char *p;

    char **rval = calloc(sizeof(char *), 1);



    while (rval && (p = qemu_strsep(&input, "" "")) != NULL) {

        if (!*p) {

            continue;

        }

        c++;

        rval = realloc(rval, sizeof(*rval) * (c + 1));

        if (!rval) {

            c = 0;

            break;

        }

        rval[c - 1] = p;

        rval[c] = NULL;

    }

    *count = c;

    return rval;

}
"
62,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int get_uint8_equal(QEMUFile *f, void *pv, size_t size,

                           VMStateField *field)

{

    uint8_t *v = pv;

    uint8_t v2;

    qemu_get_8s(f, &v2);



    if (*v == v2) {

        return 0;


    error_report(""%x != %x"", *v, v2);




    return -EINVAL;
"
63,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void numa_set_mem_node_id(ram_addr_t addr, uint64_t size, uint32_t node)

{

    struct numa_addr_range *range = g_malloc0(sizeof(*range));



    /*

     * Memory-less nodes can come here with 0 size in which case,

     * there is nothing to do.

     */

    if (!size) {

        return;

    }



    range->mem_start = addr;

    range->mem_end = addr + size - 1;

    QLIST_INSERT_HEAD(&numa_info[node].addr, range, entry);

}
"
64,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void *qemu_malloc(size_t size)

{

    if (!size && !allow_zero_malloc()) {

        abort();

    }

    return oom_check(malloc(size ? size : 1));

}
"
65,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"void helper_divq_EAX_T0(void)

{

    uint64_t r0, r1;

    if (T0 == 0) {

        raise_exception(EXCP00_DIVZ);

    }

    r0 = EAX;

    r1 = EDX;

    div64(&r0, &r1, T0);

    EAX = r0;

    EDX = r1;

}
"
66,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int get_coc(Jpeg2000DecoderContext *s, Jpeg2000CodingStyle *c,

                   uint8_t *properties)

{

    int compno;



    if (s->buf_end - s->buf < 2)

        return AVERROR_INVALIDDATA;



    compno = bytestream_get_byte(&s->buf);



    c      += compno;

    c->csty = bytestream_get_byte(&s->buf);

    get_cox(s, c);



    properties[compno] |= HAD_COC;

    return 0;

}
"
67,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static int qxl_init_secondary(PCIDevice *dev)

{

    static int device_id = 1;

    PCIQXLDevice *qxl = DO_UPCAST(PCIQXLDevice, pci, dev);



    qxl->id = device_id++;

    qxl_init_ramsize(qxl, 16);

    memory_region_init_ram(&qxl->vga.vram, ""qxl.vgavram"", qxl->vga.vram_size);

    vmstate_register_ram(&qxl->vga.vram, &qxl->pci.qdev);

    qxl->vga.vram_ptr = memory_region_get_ram_ptr(&qxl->vga.vram);



    return qxl_init_common(qxl);

}
"
68,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"static void unterminated_literal(void)

{

    QObject *obj = qobject_from_json(""nul"", NULL);

    g_assert(obj == NULL);

}
"
69,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Vulnerabile,Sicuro,"int qemu_eventfd(int *fds)

{

#if defined(SYS_eventfd)

    int ret;



    ret = syscall(SYS_eventfd, 0);

    if (ret >= 0) {

        fds[0] = fds[1] = ret;

        return 0;

    } else if (!(ret == -1 && errno == ENOSYS))

        return ret;

#endif



    return pipe(fds);

}
"
