modello,target_vero,target_predetto,codice
Qwen/Qwen2.5-7B-Instruct,Sicuro,Sicuro,"static uint8_t *l2cap_bframe_out(struct bt_l2cap_conn_params_s *parm, int len)

{

    struct l2cap_chan_s *chan = (struct l2cap_chan_s *) parm;



    if (len > chan->params.remote_mtu) {

        fprintf(stderr, ""%s: B-Frame for CID %04x longer than %i octets.\n"",

                        __func__,

                        chan->remote_cid, chan->params.remote_mtu);

        exit(-1);

    }



    return l2cap_pdu_out(chan->l2cap, chan->remote_cid, len);

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Sicuro,Sicuro,"static void gicv3_cpuif_el_change_hook(ARMCPU *cpu, void *opaque)

{

    /* Do nothing for now. */

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Sicuro,Sicuro,"void cpu_breakpoint_remove_by_ref(CPUState *env, CPUBreakpoint *breakpoint)

{

#if defined(TARGET_HAS_ICE)

    TAILQ_REMOVE(&env->breakpoints, breakpoint, entry);



    breakpoint_invalidate(env, breakpoint->pc);



    qemu_free(breakpoint);

#endif

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Sicuro,Sicuro,"void ff_put_dirac_pixels32_sse2(uint8_t *dst, const uint8_t *src[5], int stride, int h)

{

    if (h&3) {

        ff_put_dirac_pixels32_c(dst, src, stride, h);

    } else {

    ff_put_pixels16_sse2(dst   , src[0]   , stride, h);

    ff_put_pixels16_sse2(dst+16, src[0]+16, stride, h);

    }

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Sicuro,Sicuro,"static uint64_t omap_lpg_read(void *opaque, target_phys_addr_t addr,

                              unsigned size)

{

    struct omap_lpg_s *s = (struct omap_lpg_s *) opaque;

    int offset = addr & OMAP_MPUI_REG_MASK;



    if (size != 1) {

        return omap_badwidth_read8(opaque, addr);

    }



    switch (offset) {

    case 0x00:	/* LCR */

        return s->control;



    case 0x04:	/* PMR */

        return s->power;

    }



    OMAP_BAD_REG(addr);

    return 0;

}
"
codellama/CodeLlama-7b-Instruct-hf,Sicuro,Sicuro,"static void gicv3_cpuif_el_change_hook(ARMCPU *cpu, void *opaque)

{

    /* Do nothing for now. */

}
"
codellama/CodeLlama-7b-Instruct-hf,Sicuro,Sicuro,"static uint32_t intel_hda_mmio_readw(void *opaque, target_phys_addr_t addr)

{

    IntelHDAState *d = opaque;

    const IntelHDAReg *reg = intel_hda_reg_find(d, addr);



    return intel_hda_reg_read(d, reg, 0xffff);

}
"
codellama/CodeLlama-7b-Instruct-hf,Sicuro,Sicuro,"static uint8_t *l2cap_bframe_out(struct bt_l2cap_conn_params_s *parm, int len)

{

    struct l2cap_chan_s *chan = (struct l2cap_chan_s *) parm;



    if (len > chan->params.remote_mtu) {

        fprintf(stderr, ""%s: B-Frame for CID %04x longer than %i octets.\n"",

                        __func__,

                        chan->remote_cid, chan->params.remote_mtu);

        exit(-1);

    }



    return l2cap_pdu_out(chan->l2cap, chan->remote_cid, len);

}
"
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Sicuro,Sicuro,"void cpu_breakpoint_remove_by_ref(CPUState *env, CPUBreakpoint *breakpoint)

{

#if defined(TARGET_HAS_ICE)

    TAILQ_REMOVE(&env->breakpoints, breakpoint, entry);



    breakpoint_invalidate(env, breakpoint->pc);



    qemu_free(breakpoint);

#endif

}
"
deepseek-ai/deepseek-coder-6.7b-instruct,Sicuro,Sicuro,"static void gicv3_cpuif_el_change_hook(ARMCPU *cpu, void *opaque)

{

    /* Do nothing for now. */

}
"
deepseek-ai/deepseek-coder-6.7b-instruct,Sicuro,Sicuro,"static inline int onenand_load_spare(OneNANDState *s, int sec, int secn,

                void *dest)

{

    uint8_t buf[512];



    if (s->bdrv_cur) {

        if (bdrv_read(s->bdrv_cur, s->secs_cur + (sec >> 5), buf, 1) < 0)

            return 1;

        memcpy(dest, buf + ((sec & 31) << 4), secn << 4);

    } else if (sec + secn > s->secs_cur)

        return 1;

    else

        memcpy(dest, s->current + (s->secs_cur << 9) + (sec << 4), secn << 4);

 

    return 0;

}
"
deepseek-ai/deepseek-coder-6.7b-instruct,Sicuro,Sicuro,"void cpu_breakpoint_remove_by_ref(CPUState *env, CPUBreakpoint *breakpoint)

{

#if defined(TARGET_HAS_ICE)

    TAILQ_REMOVE(&env->breakpoints, breakpoint, entry);



    breakpoint_invalidate(env, breakpoint->pc);



    qemu_free(breakpoint);

#endif

}
"
deepseek-ai/deepseek-coder-6.7b-instruct,Sicuro,Sicuro,"void ff_put_dirac_pixels32_sse2(uint8_t *dst, const uint8_t *src[5], int stride, int h)

{

    if (h&3) {

        ff_put_dirac_pixels32_c(dst, src, stride, h);

    } else {

    ff_put_pixels16_sse2(dst   , src[0]   , stride, h);

    ff_put_pixels16_sse2(dst+16, src[0]+16, stride, h);

    }

}
"
deepseek-ai/deepseek-coder-6.7b-instruct,Sicuro,Sicuro,"static uint32_t intel_hda_mmio_readw(void *opaque, target_phys_addr_t addr)

{

    IntelHDAState *d = opaque;

    const IntelHDAReg *reg = intel_hda_reg_find(d, addr);



    return intel_hda_reg_read(d, reg, 0xffff);

}
"
deepseek-ai/deepseek-coder-6.7b-instruct,Sicuro,Sicuro,"static uint8_t *l2cap_bframe_out(struct bt_l2cap_conn_params_s *parm, int len)

{

    struct l2cap_chan_s *chan = (struct l2cap_chan_s *) parm;



    if (len > chan->params.remote_mtu) {

        fprintf(stderr, ""%s: B-Frame for CID %04x longer than %i octets.\n"",

                        __func__,

                        chan->remote_cid, chan->params.remote_mtu);

        exit(-1);

    }



    return l2cap_pdu_out(chan->l2cap, chan->remote_cid, len);

}
"
deepseek-ai/deepseek-coder-6.7b-instruct,Sicuro,Sicuro,"static uint64_t omap_lpg_read(void *opaque, target_phys_addr_t addr,

                              unsigned size)

{

    struct omap_lpg_s *s = (struct omap_lpg_s *) opaque;

    int offset = addr & OMAP_MPUI_REG_MASK;



    if (size != 1) {

        return omap_badwidth_read8(opaque, addr);

    }



    switch (offset) {

    case 0x00:	/* LCR */

        return s->control;



    case 0x04:	/* PMR */

        return s->power;

    }



    OMAP_BAD_REG(addr);

    return 0;

}
"
